MEDICAMENTO;CANTIDAD;PRECIO UNITARIO;PRECIO DE VENTA;FECHA DE VENCIMIENTO;NUMERO DE LOTE;PAIS-CIUDAD;PRECIO DE INVENTARIO
Tramadol 600mg;120;12.000;16.200;10/05/2028;LOTE-34890;Colombia-Cali;1.440.000
Metoprolol 500mg;48;1.200;1.560;24/07/2027;LOTE-28585;Colombia-Medellín;57.600
Fluoxetina 1000mg;11;8.000;10.400;17/07/2028;LOTE-90683;Panamá-Ciudad de Panamá;88.000
Azitromicina 750mg;4;1.000;1.150;23/10/2026;LOTE-34930;Costa Rica-San José;4.000
Atorvastatina 750mg;8;12.000;15.000;12/12/2027;LOTE-87458;Estados Unidos-Miami;96.000
Ranitidina 600mg;60;4.000;5.200;21/09/2026;LOTE-96828;Colombia-Medellín;240.000
Insulina Glargina 850mg;72;10.000;13.500;24/01/2029;LOTE-20905;Brasil-São Paulo;720.000
Paracetamol 300mg;59;4.000;4.600;27/11/2026;LOTE-83812;España-Madrid;236.000
Losartán 400mg;28;4.000;5.200;24/11/2026;LOTE-12213;Estados Unidos-Miami;112.000
Fluconazol 50mg;55;2.500;2.875;11/01/2028;LOTE-59212;Brasil-São Paulo;137.500
Captopril 400mg;19;2.500;3.500;20/06/2027;LOTE-54157;Colombia-Medellín;47.500
Furosemida 300mg;4;10.000;11.500;1/02/2027;LOTE-42294;Brasil-São Paulo;40.000
Losartán 50mg;16;12.000;15.600;17/03/2027;LOTE-99401;Argentina-Buenos Aires;192.000
Ranitidina 500mg;131;2.500;3.500;12/11/2028;LOTE-27166;Perú-Lima;327.500
Cefalexina 400mg;30;8.000;10.400;22/04/2027;LOTE-10061;México-Ciudad de México;240.000
Alprazolam 250mg;6;2.500;3.000;25/10/2027;LOTE-88907;Panamá-Ciudad de Panamá;15.000
Gabapentina 100mg;11;1.500;1.800;13/12/2027;LOTE-43852;Colombia-Bogotá;16.500
Loperamida 750mg;85;4.000;5.200;1/12/2026;LOTE-19736;Colombia-Medellín;340.000
Clonazepam 750mg;63;500;675;29/09/2027;LOTE-58719;Ecuador-Quito;31.500
Insulina Glargina 150mg;124;1.500;1.950;23/03/2027;LOTE-92214;Colombia-Cali;186.000
Furosemida 200mg;64;2.500;3.000;13/10/2028;LOTE-92441;Argentina-Buenos Aires;160.000
Ranitidina 850mg;100;15.000;20.250;6/12/2026;LOTE-65241;Colombia-Bogotá;1.500.000
Losartán 100mg;10;3.500;4.200;13/10/2028;LOTE-61329;México-Ciudad de México;35.000
Warfarina 750mg;126;4.000;5.400;15/03/2027;LOTE-19014;Colombia-Cali;504.000
Enalapril 500mg;144;1.000;1.250;22/04/2027;LOTE-36735;Brasil-São Paulo;144.000
Ibuprofeno 100mg;69;10.000;13.000;30/05/2027;LOTE-17924;Colombia-Bogotá;690.000
Naproxeno 250mg;95;1.500;1.725;22/09/2027;LOTE-28141;Costa Rica-San José;142.500
Tramadol 300mg;134;1.500;2.025;22/10/2026;LOTE-12345;Chile-Santiago;201.000
Prednisona 1000mg;80;800;920;21/05/2028;LOTE-93385;Colombia-Medellín;64.000
Amlodipino 100mg;80;5.000;6.000;30/11/2026;LOTE-19864;Chile-Santiago;400.000
Fluoxetina 300mg;12;1.500;1.875;12/09/2027;LOTE-21131;Panamá-Ciudad de Panamá;18.000
Amlodipino 100mg;107;500;650;25/04/2028;LOTE-11904;Ecuador-Quito;53.500
Clindamicina 400mg;98;500;675;29/11/2026;LOTE-20512;Colombia-Medellín;49.000
Doxiciclina 100mg;66;10.000;14.000;21/08/2027;LOTE-60913;Costa Rica-San José;660.000
Complejo B 1000mg;149;12.000;15.600;3/01/2028;LOTE-80942;Colombia-Medellín;1.788.000
Hidroclorotiazida 600mg;8;4.000;5.400;15/12/2026;LOTE-73039;Colombia-Bogotá;32.000
Enalapril 1000mg;29;15.000;20.250;23/07/2028;LOTE-73739;México-Ciudad de México;435.000
Acetaminofén 300mg;78;1.500;2.100;4/06/2028;LOTE-36551;Argentina-Buenos Aires;117.000
Azitromicina 300mg;114;15.000;18.000;17/08/2027;LOTE-63052;Panamá-Ciudad de Panamá;1.710.000
Paracetamol 200mg;111;2.500;3.000;15/10/2027;LOTE-38780;Ecuador-Quito;277.500
Salbutamol 50mcg;35;1.500;1.950;11/09/2027;LOTE-15317;Brasil-São Paulo;52.500
Omeprazol 250mg;44;1.200;1.560;12/01/2028;LOTE-46066;Costa Rica-San José;52.800
Clonazepam 400mg;98;15.000;21.000;5/08/2027;LOTE-91890;Chile-Santiago;1.470.000
Salbutamol 100mcg;9;3.500;4.725;29/10/2026;LOTE-98900;Brasil-São Paulo;31.500
Ciprofloxacino 750mg;91;4.000;5.600;5/12/2028;LOTE-83929;Colombia-Bogotá;364.000
Cefalexina 150mg;104;12.000;14.400;12/10/2026;LOTE-44919;Colombia-Barranquilla;1.248.000
Loperamida 150mg;13;1.200;1.560;6/01/2027;LOTE-92570;Argentina-Buenos Aires;15.600
Cefalexina 850mg;95;1.000;1.400;7/04/2027;LOTE-36128;Estados Unidos-Miami;95.000
Amlodipino 250mg;46;500;650;17/03/2028;LOTE-14741;Colombia-Cali;23.000
Enalapril 250mg;89;2.000;2.600;2/02/2029;LOTE-39350;Colombia-Medellín;178.000
Warfarina 1000mg;100;1.500;1.950;25/12/2027;LOTE-35805;Panamá-Ciudad de Panamá;150.000
Acetaminofén 400mg;141;5.000;6.500;17/08/2027;LOTE-95370;Colombia-Barranquilla;705.000
Losartán 1000mg;32;2.500;3.000;21/10/2027;LOTE-21513;México-Ciudad de México;80.000
Fluoxetina 300mg;68;500;625;15/02/2028;LOTE-20849;Colombia-Bogotá;34.000
Tramadol 300mg;141;10.000;12.500;29/01/2028;LOTE-13723;Colombia-Barranquilla;1.410.000
Omeprazol 400mg;9;2.000;2.700;26/08/2027;LOTE-99991;España-Madrid;18.000
Aspirina 500mg;39;12.000;15.600;1/05/2028;LOTE-21275;España-Madrid;468.000
Enalapril 500mg;135;4.000;5.600;14/04/2028;LOTE-93738;Colombia-Cali;540.000
Hidroclorotiazida 600mg;144;3.500;4.375;4/08/2028;LOTE-59966;Estados Unidos-Miami;504.000
Trazodona 200mg;78;1.500;2.025;6/03/2028;LOTE-45777;Ecuador-Quito;117.000
Clopidogrel 200mg;106;1.200;1.620;22/09/2026;LOTE-89328;Perú-Lima;127.200
Ibuprofeno 600mg;12;8.000;10.800;15/12/2028;LOTE-83776;Colombia-Medellín;96.000
Clopidogrel 100mg;43;1.000;1.350;30/12/2027;LOTE-64234;Costa Rica-San José;43.000
Captopril 250mg;64;15.000;19.500;25/01/2027;LOTE-54522;Perú-Lima;960.000
Amlodipino 600mg;82;1.200;1.440;20/11/2027;LOTE-90988;Colombia-Bogotá;98.400
Paracetamol 150mg;6;800;960;23/02/2027;LOTE-39787;Colombia-Bogotá;4.800
Fluconazol 250mg;83;6.500;7.800;12/06/2028;LOTE-75381;Colombia-Medellín;539.500
Clopidogrel 1000mg;150;1.200;1.620;16/06/2028;LOTE-42840;Brasil-São Paulo;180.000
Ranitidina 1000mg;136;10.000;11.500;6/10/2027;LOTE-92969;Perú-Lima;1.360.000
Hidroclorotiazida 750mg;41;2.500;3.500;16/03/2028;LOTE-93685;Colombia-Barranquilla;102.500
Hidroclorotiazida 200mg;139;1.500;1.800;14/10/2028;LOTE-92298;España-Madrid;208.500
Prednisona 150mg;81;5.000;6.000;28/04/2027;LOTE-35499;Costa Rica-San José;405.000
Losartán 150mg;62;1.500;2.100;16/12/2026;LOTE-44012;Perú-Lima;93.000
Losartán 400mg;108;1.500;1.800;3/11/2027;LOTE-92312;Panamá-Ciudad de Panamá;162.000
Ibuprofeno 100mg;52;6.500;8.125;13/01/2027;LOTE-76280;Panamá-Ciudad de Panamá;338.000
Sulfato Ferroso 300mg;129;2.500;2.875;23/01/2028;LOTE-23916;Colombia-Bogotá;322.500
Amoxicilina 600mg;132;15.000;18.000;30/03/2027;LOTE-34187;Colombia-Medellín;1.980.000
